InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,CustomerID,Country
536001,02/07/2023 18:06,SKU0001,Wireless Mouse,1,321.52,13078,United Kingdom
536002,05/07/2023 08:46,SKU0001,Wireless Mouse,1,321.52,15855,Netherlands
536003,06/07/2023 13:58,SKU0001,Wireless Mouse,1,321.52,15029,Belgium
536004,08/07/2023 16:02,SKU0001,Wireless Mouse,1,321.52,16769,United Kingdom
536005,09/07/2023 11:08,SKU0001,Wireless Mouse,1,321.52,16839,Ireland
536006,11/07/2023 15:25,SKU0001,Wireless Mouse,1,321.52,15316,Ireland
536007,12/07/2023 18:48,SKU0001,Wireless Mouse,1,321.52,17601,United Kingdom
536008,15/07/2023 13:31,SKU0001,Wireless Mouse,1,321.52,13024,France
536009,16/07/2023 09:11,SKU0001,Wireless Mouse,1,321.52,12115,Ireland
536010,17/07/2023 08:41,SKU0001,Wireless Mouse,1,321.52,13646,France
536011,18/07/2023 11:33,SKU0001,Wireless Mouse,1,321.52,17603,Ireland
536012,19/07/2023 11:05,SKU0001,Wireless Mouse,1,321.52,16033,Belgium
536013,20/07/2023 17:49,SKU0001,Wireless Mouse,1,321.52,14365,Spain
536014,22/07/2023 09:03,SKU0001,Wireless Mouse,1,321.52,17737,Netherlands
536015,23/07/2023 11:32,SKU0001,Wireless Mouse,1,321.52,18038,Germany
536016,24/07/2023 08:35,SKU0001,Wireless Mouse,1,321.52,16787,United Kingdom
536017,26/07/2023 08:56,SKU0001,Wireless Mouse,1,321.52,13789,United Kingdom
536018,27/07/2023 16:49,SKU0001,Wireless Mouse,1,321.52,18535,Netherlands
536019,28/07/2023 09:32,SKU0001,Wireless Mouse,1,321.52,13854,Netherlands
536020,30/07/2023 10:23,SKU0001,Wireless Mouse,1,321.52,14740,Germany
536021,31/07/2023 09:00,SKU0001,Wireless Mouse,1,321.52,12321,United Kingdom
536022,02/08/2023 16:06,SKU0001,Wireless Mouse,1,321.52,14937,Belgium
536023,03/08/2023 16:01,SKU0001,Wireless Mouse,1,321.52,19710,Germany
536024,04/08/2023 12:23,SKU0001,Wireless Mouse,1,321.52,15085,France
536025,10/08/2023 12:14,SKU0001,Wireless Mouse,1,321.52,17597,Germany
536026,12/08/2023 16:48,SKU0001,Wireless Mouse,1,321.52,13951,Germany
536027,16/08/2023 15:58,SKU0001,Wireless Mouse,1,321.52,16137,Spain
536028,17/08/2023 15:22,SKU0001,Wireless Mouse,1,321.52,13858,Spain
536029,21/08/2023 16:03,SKU0001,Wireless Mouse,1,321.52,16575,Belgium
536030,22/08/2023 14:00,SKU0001,Wireless Mouse,1,321.52,12201,France
536031,24/08/2023 12:39,SKU0001,Wireless Mouse,1,321.52,17216,France
536032,25/08/2023 18:00,SKU0001,Wireless Mouse,1,321.52,14035,Germany
536033,26/08/2023 16:16,SKU0001,Wireless Mouse,1,321.52,16417,Ireland
536034,27/08/2023 18:11,SKU0001,Wireless Mouse,1,321.52,12665,Netherlands
536035,28/08/2023 17:31,SKU0001,Wireless Mouse,1,321.52,18758,Germany
536036,29/08/2023 11:45,SKU0001,Wireless Mouse,1,321.52,13643,United Kingdom
536037,30/08/2023 09:01,SKU0001,Wireless Mouse,1,321.52,17074,Ireland
536038,31/08/2023 10:30,SKU0001,Wireless Mouse,1,321.52,14239,Ireland
536039,01/09/2023 18:16,SKU0001,Wireless Mouse,1,321.52,16114,Ireland
536040,02/09/2023 08:46,SKU0001,Wireless Mouse,1,321.52,15304,Belgium
536041,04/09/2023 14:30,SKU0001,Wireless Mouse,1,321.52,13681,United Kingdom
536042,06/09/2023 17:05,SKU0001,Wireless Mouse,1,321.52,18935,France
536043,07/09/2023 08:51,SKU0001,Wireless Mouse,1,321.52,14149,Germany
536044,08/09/2023 13:13,SKU0001,Wireless Mouse,1,321.52,13161,Germany
536045,09/09/2023 16:51,SKU0001,Wireless Mouse,1,321.52,18503,Ireland
536046,10/09/2023 14:22,SKU0001,Wireless Mouse,1,321.52,15661,Germany
536047,11/09/2023 14:38,SKU0001,Wireless Mouse,1,321.52,12174,United Kingdom
536048,12/09/2023 12:15,SKU0001,Wireless Mouse,1,321.52,18876,Spain
536049,13/09/2023 18:32,SKU0001,Wireless Mouse,1,321.52,14235,Netherlands
536050,15/09/2023 08:54,SKU0001,Wireless Mouse,1,321.52,14967,Germany
536051,16/09/2023 08:13,SKU0001,Wireless Mouse,1,321.52,18318,Ireland
536052,18/09/2023 12:49,SKU0001,Wireless Mouse,1,321.52,17758,France
536053,21/09/2023 15:06,SKU0001,Wireless Mouse,1,321.52,15805,Ireland
536054,22/09/2023 11:28,SKU0001,Wireless Mouse,1,321.52,12838,Germany
536055,25/09/2023 08:40,SKU0001,Wireless Mouse,1,321.52,15100,Germany
536056,26/09/2023 08:42,SKU0001,Wireless Mouse,1,321.52,16511,Netherlands
536057,27/09/2023 13:52,SKU0001,Wireless Mouse,1,321.52,13931,Ireland
536058,28/09/2023 13:48,SKU0001,Wireless Mouse,1,321.52,13231,Netherlands
536059,29/09/2023 09:25,SKU0001,Wireless Mouse,1,321.52,15138,United Kingdom
536060,30/09/2023 12:04,SKU0001,Wireless Mouse,1,321.52,18951,Germany
536061,01/10/2023 12:49,SKU0001,Wireless Mouse,1,321.52,15640,United Kingdom
536062,02/10/2023 10:13,SKU0001,Wireless Mouse,1,321.52,17181,France
536063,03/10/2023 09:58,SKU0001,Wireless Mouse,1,321.52,15771,Spain
536064,04/10/2023 16:03,SKU0001,Wireless Mouse,1,321.52,16984,United Kingdom
536065,05/10/2023 13:52,SKU0001,Wireless Mouse,1,321.52,12596,Netherlands
536066,06/10/2023 15:26,SKU0001,Wireless Mouse,1,321.52,13252,Netherlands
536067,08/10/2023 16:14,SKU0001,Wireless Mouse,1,321.52,12390,Germany
536068,09/10/2023 09:29,SKU0001,Wireless Mouse,1,321.52,16272,Netherlands
536069,10/10/2023 18:49,SKU0001,Wireless Mouse,1,321.52,17739,France
536070,11/10/2023 09:50,SKU0001,Wireless Mouse,1,321.52,18432,United Kingdom
536071,12/10/2023 11:07,SKU0001,Wireless Mouse,1,321.52,17487,Netherlands
536072,13/10/2023 11:44,SKU0001,Wireless Mouse,1,321.52,13610,Germany
536073,16/10/2023 18:31,SKU0001,Wireless Mouse,1,321.52,14967,Germany
536074,17/10/2023 16:21,SKU0001,Wireless Mouse,1,321.52,17135,Spain
536075,18/10/2023 13:59,SKU0001,Wireless Mouse,1,321.52,13464,United Kingdom
536076,19/10/2023 09:08,SKU0001,Wireless Mouse,1,321.52,17912,Ireland
536077,20/10/2023 15:35,SKU0001,Wireless Mouse,1,321.52,18992,Belgium
536078,21/10/2023 10:09,SKU0001,Wireless Mouse,1,321.52,12482,Netherlands
536079,22/10/2023 09:27,SKU0001,Wireless Mouse,1,321.52,14479,France
536080,23/10/2023 14:53,SKU0001,Wireless Mouse,1,321.52,17067,United Kingdom
536081,24/10/2023 08:16,SKU0001,Wireless Mouse,1,321.52,18274,Belgium
536082,26/10/2023 17:26,SKU0001,Wireless Mouse,1,321.52,13854,Spain
536083,27/10/2023 11:12,SKU0001,Wireless Mouse,1,321.52,19571,France
536084,28/10/2023 18:35,SKU0001,Wireless Mouse,1,321.52,18647,Netherlands
536085,29/10/2023 15:07,SKU0001,Wireless Mouse,1,321.52,14506,United Kingdom
536086,30/10/2023 11:07,SKU0001,Wireless Mouse,1,321.52,19188,United Kingdom
536087,01/11/2023 12:27,SKU0001,Wireless Mouse,1,321.52,16950,Belgium
536088,02/11/2023 17:38,SKU0001,Wireless Mouse,1,321.52,13073,Germany
536089,03/11/2023 18:30,SKU0001,Wireless Mouse,1,321.52,14065,Belgium
536090,04/11/2023 10:08,SKU0001,Wireless Mouse,1,321.52,18766,Germany
536091,06/11/2023 17:16,SKU0001,Wireless Mouse,1,321.52,13089,Germany
536092,07/11/2023 12:14,SKU0001,Wireless Mouse,1,321.52,13292,United Kingdom
536093,08/11/2023 13:29,SKU0001,Wireless Mouse,1,321.52,13654,Spain
536094,09/11/2023 12:08,SKU0001,Wireless Mouse,1,321.52,19306,Ireland
536095,10/11/2023 13:42,SKU0001,Wireless Mouse,1,321.52,15447,Spain
536096,11/11/2023 14:40,SKU0001,Wireless Mouse,1,321.52,19072,Netherlands
536097,12/11/2023 17:35,SKU0001,Wireless Mouse,1,321.52,19781,United Kingdom
536098,13/11/2023 11:39,SKU0001,Wireless Mouse,1,321.52,14016,Netherlands
536099,14/11/2023 14:41,SKU0001,Wireless Mouse,1,321.52,14515,Belgium
536100,15/11/2023 10:05,SKU0001,Wireless Mouse,1,321.52,13322,France
536101,17/11/2023 17:34,SKU0001,Wireless Mouse,1,321.52,17882,Spain
536102,18/11/2023 11:18,SKU0001,Wireless Mouse,1,321.52,18175,Germany
536103,19/11/2023 09:49,SKU0001,Wireless Mouse,1,321.52,17052,Netherlands
536104,21/11/2023 17:18,SKU0001,Wireless Mouse,1,321.52,12701,France
536105,26/11/2023 09:41,SKU0001,Wireless Mouse,1,321.52,18063,Ireland
536106,27/11/2023 17:45,SKU0001,Wireless Mouse,1,321.52,16807,Germany
536107,29/11/2023 17:16,SKU0001,Wireless Mouse,1,321.52,12263,Spain
536108,30/11/2023 09:33,SKU0001,Wireless Mouse,1,321.52,12688,United Kingdom
536109,02/12/2023 09:11,SKU0001,Wireless Mouse,1,321.52,19759,Netherlands
536110,03/12/2023 11:18,SKU0001,Wireless Mouse,1,321.52,14126,Ireland
536111,05/12/2023 18:09,SKU0001,Wireless Mouse,1,321.52,12675,United Kingdom
536112,06/12/2023 14:54,SKU0001,Wireless Mouse,1,321.52,16244,Netherlands
536113,07/12/2023 13:38,SKU0001,Wireless Mouse,1,321.52,12253,Spain
536114,09/12/2023 09:27,SKU0001,Wireless Mouse,1,321.52,12104,Netherlands
536115,10/12/2023 15:14,SKU0001,Wireless Mouse,1,321.52,19459,Ireland
536116,11/12/2023 16:10,SKU0001,Wireless Mouse,1,321.52,17386,France
536117,13/12/2023 15:01,SKU0001,Wireless Mouse,1,321.52,14382,Germany
536118,14/12/2023 18:19,SKU0001,Wireless Mouse,1,321.52,14141,United Kingdom
536119,16/12/2023 18:40,SKU0001,Wireless Mouse,1,321.52,16580,France
536120,18/12/2023 13:56,SKU0001,Wireless Mouse,1,321.52,13892,United Kingdom
536121,20/12/2023 15:15,SKU0001,Wireless Mouse,1,321.52,17380,Germany
536122,21/12/2023 08:25,SKU0001,Wireless Mouse,1,321.52,17695,Belgium
