Order Date,Product ID,Product Name,Category,Sales,Quantity,Discount,Segment,Region
2023-07-01,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,North
2023-07-04,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,Central
2023-07-05,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,West
2023-07-09,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,North
2023-07-10,P-0001,Wireless Mouse,Technology,305.44,1,0.05,Consumer,East
2023-07-11,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,Central
2023-07-12,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,East
2023-07-13,P-0001,Wireless Mouse,Technology,241.14,1,0.25,Home Office,East
2023-07-15,P-0001,Wireless Mouse,Technology,257.22,1,0.2,Consumer,East
2023-07-17,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,West
2023-07-18,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,South
2023-07-20,P-0001,Wireless Mouse,Technology,273.29,1,0.15,Home Office,East
2023-07-22,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,Central
2023-07-23,P-0001,Wireless Mouse,Technology,241.14,1,0.25,Consumer,East
2023-07-24,P-0001,Wireless Mouse,Technology,241.14,1,0.25,Corporate,North
2023-07-27,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,North
2023-07-28,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,Central
2023-07-30,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,Central
2023-08-01,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,North
2023-08-03,P-0001,Wireless Mouse,Technology,241.14,1,0.25,Home Office,South
2023-08-04,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,West
2023-08-06,P-0001,Wireless Mouse,Technology,257.22,1,0.2,Corporate,South
2023-08-07,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,South
2023-08-08,P-0001,Wireless Mouse,Technology,273.29,1,0.15,Home Office,South
2023-08-09,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,Central
2023-08-10,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,Central
2023-08-11,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,West
2023-08-12,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,North
2023-08-13,P-0001,Wireless Mouse,Technology,241.14,1,0.25,Home Office,South
2023-08-14,P-0001,Wireless Mouse,Technology,305.44,1,0.05,Corporate,South
2023-08-15,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,North
2023-08-17,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,Central
2023-08-18,P-0001,Wireless Mouse,Technology,273.29,1,0.15,Corporate,East
2023-08-20,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,South
2023-08-21,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,South
2023-08-22,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,Central
2023-08-23,P-0001,Wireless Mouse,Technology,305.44,1,0.05,Corporate,South
2023-08-24,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,Central
2023-08-25,P-0001,Wireless Mouse,Technology,273.29,1,0.15,Home Office,East
2023-08-26,P-0001,Wireless Mouse,Technology,273.29,1,0.15,Corporate,East
2023-08-28,P-0001,Wireless Mouse,Technology,273.29,1,0.15,Consumer,North
2023-08-29,P-0001,Wireless Mouse,Technology,305.44,1,0.05,Corporate,North
2023-08-31,P-0001,Wireless Mouse,Technology,241.14,1,0.25,Consumer,West
2023-09-01,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,East
2023-09-02,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,Central
2023-09-03,P-0001,Wireless Mouse,Technology,305.44,1,0.05,Corporate,East
2023-09-04,P-0001,Wireless Mouse,Technology,305.44,1,0.05,Consumer,West
2023-09-07,P-0001,Wireless Mouse,Technology,257.22,1,0.2,Consumer,Central
2023-09-08,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,East
2023-09-09,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,North
2023-09-11,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,North
2023-09-12,P-0001,Wireless Mouse,Technology,305.44,1,0.05,Consumer,North
2023-09-13,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,East
2023-09-14,P-0001,Wireless Mouse,Technology,257.22,1,0.2,Home Office,North
2023-09-17,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,North
2023-09-18,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,North
2023-09-19,P-0001,Wireless Mouse,Technology,305.44,1,0.05,Corporate,Central
2023-09-20,P-0001,Wireless Mouse,Technology,257.22,1,0.2,Consumer,West
2023-09-21,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,East
2023-09-22,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,South
2023-09-23,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Home Office,North
2023-09-24,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,North
2023-09-25,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Consumer,South
2023-09-26,P-0001,Wireless Mouse,Technology,321.52,1,0.0,Corporate,Central
